user_id,drink_id,drink_name,rating
M3001,D003,Green Tea,1
F0001,A001,Plain Water,5
F0001,D001,Fresh Fruit Juice Cold,5
F0001,D002,Iced Lemon Tea,5
F0001,D003,Green Tea,4
F0002,D002,Iced Lemon Tea,4
F0003,A001,Plain Water,5
F0003,D001,Fresh Fruit Juice Cold,5
F0003,D002,Iced Lemon Tea,3
F0003,D003,Green Tea,1
F0004,D001,Fresh Fruit Juice Cold,3
F0004,D002,Iced Lemon Tea,2
F0004,D003,Green Tea,2
F0005,D001,Fresh Fruit Juice Cold,5
F0005,D002,Iced Lemon Tea,5
F0005,D003,Green Tea,3
F0006,D002,Iced Lemon Tea,4
F0007,A001,Plain Water,5
F0007,D001,Fresh Fruit Juice Cold,5
F0007,D002,Iced Lemon Tea,5
F0007,D003,Green Tea,5
F0008,A001,Plain Water,4
F0008,D001,Fresh Fruit Juice Cold,3
F0008,D002,Iced Lemon Tea,4
F0008,D003,Green Tea,5
F1001,D001,Fresh Fruit Juice Cold,5
F1001,D002,Iced Lemon Tea,5
F1002,A001,Plain Water,5
F1002,D001,Fresh Fruit Juice Cold,5
F1002,D002,Iced Lemon Tea,5
F1002,D003,Green Tea,5
F1003,D001,Fresh Fruit Juice Cold,5
F1003,D002,Iced Lemon Tea,1
F1003,D003,Green Tea,1
F1004,A001,Plain Water,5
F1004,D001,Fresh Fruit Juice Cold,4
F1004,D002,Iced Lemon Tea,5
F1004,D003,Green Tea,5
F1005,D001,Fresh Fruit Juice Cold,4
F1005,D002,Iced Lemon Tea,4
F1005,D003,Green Tea,4
F1006,A001,Plain Water,4
F1006,D001,Fresh Fruit Juice Cold,5
F1006,D002,Iced Lemon Tea,5
F1006,D003,Green Tea,5
F1007,A001,Plain Water,1
F1007,D001,Fresh Fruit Juice Cold,4
F1007,D002,Iced Lemon Tea,2
F1007,D003,Green Tea,2
F1008,D002,Iced Lemon Tea,5
F1008,D003,Green Tea,3
F1009,A001,Plain Water,5
F1009,D001,Fresh Fruit Juice Cold,4
F1009,D002,Iced Lemon Tea,5
F1009,D003,Green Tea,5
F1010,A001,Plain Water,5
F1010,D001,Fresh Fruit Juice Cold,2
F1010,D002,Iced Lemon Tea,3
F1010,D003,Green Tea,2
F1011,A001,Plain Water,5
F1011,D001,Fresh Fruit Juice Cold,3
F1011,D002,Iced Lemon Tea,2
F1012,D002,Iced Lemon Tea,5
F1012,D003,Green Tea,4
F1013,A001,Plain Water,5
F1013,D001,Fresh Fruit Juice Cold,5
F1013,D002,Iced Lemon Tea,5
F1013,D003,Green Tea,3
F1014,A001,Plain Water,5
F1014,D001,Fresh Fruit Juice Cold,4
F1014,D002,Iced Lemon Tea,5
F1015,D001,Fresh Fruit Juice Cold,5
F1015,D002,Iced Lemon Tea,5
F1015,D003,Green Tea,5
F1016,A001,Plain Water,4
F1016,D002,Iced Lemon Tea,5
F1016,D003,Green Tea,3
F1017,D001,Fresh Fruit Juice Cold,5
F1017,D002,Iced Lemon Tea,4
F1017,D003,Green Tea,3
F1018,A001,Plain Water,5
F1018,D001,Fresh Fruit Juice Cold,3
F1018,D002,Iced Lemon Tea,3
F1018,D003,Green Tea,5
F1019,D001,Fresh Fruit Juice Cold,1
F1019,D002,Iced Lemon Tea,3
F1019,D003,Green Tea,5
F1020,A001,Plain Water,4
F1020,D001,Fresh Fruit Juice Cold,3
F1020,D002,Iced Lemon Tea,5
F1020,D003,Green Tea,2
F1021,A001,Plain Water,5
F1021,D001,Fresh Fruit Juice Cold,5
F1021,D002,Iced Lemon Tea,1
F1021,D003,Green Tea,2
F1022,A001,Plain Water,5
F1022,D001,Fresh Fruit Juice Cold,5
F1022,D002,Iced Lemon Tea,5
F1023,D002,Iced Lemon Tea,2
F1023,D003,Green Tea,1
F1024,A001,Plain Water,5
F1024,D001,Fresh Fruit Juice Cold,4
F1024,D002,Iced Lemon Tea,4
F1024,D003,Green Tea,4
F1025,A001,Plain Water,5
F1025,D001,Fresh Fruit Juice Cold,4
F1025,D002,Iced Lemon Tea,4
F1025,D003,Green Tea,3
F1026,D001,Fresh Fruit Juice Cold,5
F1026,D002,Iced Lemon Tea,3
F1026,D003,Green Tea,2
F1027,A001,Plain Water,5
F1027,D002,Iced Lemon Tea,4
F1027,D003,Green Tea,5
F1028,A001,Plain Water,1
F1028,D001,Fresh Fruit Juice Cold,4
F1028,D002,Iced Lemon Tea,2
F1029,D001,Fresh Fruit Juice Cold,5
F1029,D002,Iced Lemon Tea,5
F1029,D003,Green Tea,5
F1030,D001,Fresh Fruit Juice Cold,5
F1030,D002,Iced Lemon Tea,5
F1030,D003,Green Tea,2
F1031,A001,Plain Water,5
F1031,D001,Fresh Fruit Juice Cold,1
F1031,D002,Iced Lemon Tea,1
F1031,D003,Green Tea,1
F1032,D001,Fresh Fruit Juice Cold,4
F1032,D002,Iced Lemon Tea,2
F1032,D003,Green Tea,3
F1033,A001,Plain Water,5
F1033,D001,Fresh Fruit Juice Cold,5
F1033,D002,Iced Lemon Tea,5
F1033,D003,Green Tea,5
F1034,D002,Iced Lemon Tea,4
F1034,D003,Green Tea,2
F1035,A001,Plain Water,5
F1035,D001,Fresh Fruit Juice Cold,4
F1035,D002,Iced Lemon Tea,4
F1035,D003,Green Tea,2
F1036,D002,Iced Lemon Tea,3
F1036,D003,Green Tea,4
F1037,D001,Fresh Fruit Juice Cold,5
F1037,D002,Iced Lemon Tea,5
F1037,D003,Green Tea,3
F1038,A001,Plain Water,5
F1038,D001,Fresh Fruit Juice Cold,5
F1038,D002,Iced Lemon Tea,5
F1038,D003,Green Tea,5
F1039,A001,Plain Water,5
F1039,D001,Fresh Fruit Juice Cold,4
F1039,D002,Iced Lemon Tea,4
F1039,D003,Green Tea,3
F1040,D001,Fresh Fruit Juice Cold,4
F1040,D002,Iced Lemon Tea,4
F1041,D001,Fresh Fruit Juice Cold,5
F1041,D002,Iced Lemon Tea,5
F1041,D003,Green Tea,5
F1042,A001,Plain Water,4
F1042,D001,Fresh Fruit Juice Cold,5
F1042,D002,Iced Lemon Tea,5
F1042,D003,Green Tea,5
F2001,A001,Plain Water,4
F2001,D001,Fresh Fruit Juice Cold,5
F2001,D002,Iced Lemon Tea,5
F2001,D003,Green Tea,4
