user_id,food_id,food_name,rating
F1017,M005,Nasi Goreng,4
F1017,M002,Char Kuey Teow,4
F1017,M001,Burger Bakar,3
F1017,C001,Yong Tau Foo,2
F1018,M008,Nasi Lemak,3
F1018,M005,Nasi Goreng,3
F1018,M002,Char Kuey Teow,3
F1018,M001,Burger Bakar,3
F1018,W001,Lamb Chop,4
F1019,M008,Nasi Lemak,2
F1019,M005,Nasi Goreng,3
F1019,M002,Char Kuey Teow,4
F1019,M001,Burger Bakar,3
F1020,M008,Nasi Lemak,1
F1020,M005,Nasi Goreng,4
F1020,M001,Burger Bakar,3
F1020,W001,Lamb Chop,4
F1020,C001,Yong Tau Foo,3
F1021,M008,Nasi Lemak,2
F1021,M005,Nasi Goreng,2
F1021,M002,Char Kuey Teow,2
F1021,C001,Yong Tau Foo,1
F1022,M008,Nasi Lemak,1
F1022,M005,Nasi Goreng,2
F1022,M002,Char Kuey Teow,5
F1022,C001,Yong Tau Foo,3
F1023,M008,Nasi Lemak,3
F1023,M005,Nasi Goreng,2
F1023,M002,Char Kuey Teow,4
F1023,M001,Burger Bakar,5
F1023,W001,Lamb Chop,5
F1024,M005,Nasi Goreng,3
F1024,M001,Burger Bakar,5
F1025,M008,Nasi Lemak,5
F1025,M005,Nasi Goreng,5
F1025,M002,Char Kuey Teow,5
F1025,W001,Lamb Chop,1
F1025,C001,Yong Tau Foo,3
F1026,M008,Nasi Lemak,4
F1026,M002,Char Kuey Teow,4
F1026,M001,Burger Bakar,3
F1027,M008,Nasi Lemak,2
F1027,M005,Nasi Goreng,2
F1027,M002,Char Kuey Teow,4
F1027,M001,Burger Bakar,3
F1027,W001,Lamb Chop,5
F1027,C001,Yong Tau Foo,4
F1028,M005,Nasi Goreng,4
F1028,M002,Char Kuey Teow,5
F1028,C001,Yong Tau Foo,3
F1029,M008,Nasi Lemak,4
F1029,M005,Nasi Goreng,4
F1029,M002,Char Kuey Teow,4
F1029,M001,Burger Bakar,4
F1029,W001,Lamb Chop,3
F1030,M008,Nasi Lemak,1
F1030,M005,Nasi Goreng,3
F1030,M002,Char Kuey Teow,5
F1030,M001,Burger Bakar,4
F1031,M008,Nasi Lemak,5
F1031,M005,Nasi Goreng,5
F1031,M001,Burger Bakar,2
F1031,W001,Lamb Chop,1
F1031,C001,Yong Tau Foo,2
F1032,M008,Nasi Lemak,4
F1032,M005,Nasi Goreng,5
F1032,M002,Char Kuey Teow,3
F1032,M001,Burger Bakar,3
F1033,M005,Nasi Goreng,5
F1033,M002,Char Kuey Teow,4
F1033,W001,Lamb Chop,4
F1033,C001,Yong Tau Foo,3
F1034,M008,Nasi Lemak,1
F1034,M005,Nasi Goreng,4
F1034,M002,Char Kuey Teow,5
F1034,M001,Burger Bakar,3
F1034,W001,Lamb Chop,4
F1034,C001,Yong Tau Foo,3
F1035,M008,Nasi Lemak,2
F1035,M005,Nasi Goreng,2
F1035,M002,Char Kuey Teow,2
F1035,M001,Burger Bakar,2
F1036,M005,Nasi Goreng,3
F1036,M002,Char Kuey Teow,5
F1036,M001,Burger Bakar,5
F1036,W001,Lamb Chop,5
F1037,M008,Nasi Lemak,4
F1037,M005,Nasi Goreng,4
F1037,M002,Char Kuey Teow,5
F1038,M008,Nasi Lemak,4
F1038,M005,Nasi Goreng,4
F1038,M002,Char Kuey Teow,4
F1038,M001,Burger Bakar,4
F1038,W001,Lamb Chop,4
F1038,C001,Yong Tau Foo,4
F1039,M008,Nasi Lemak,3
F1039,M005,Nasi Goreng,4
F1039,M001,Burger Bakar,1
F1039,W001,Lamb Chop,4
F1040,M008,Nasi Lemak,4
F1040,M005,Nasi Goreng,4
F1040,M002,Char Kuey Teow,3
F1040,C001,Yong Tau Foo,1
F1041,M008,Nasi Lemak,4
F1041,M005,Nasi Goreng,4
F1041,M002,Char Kuey Teow,3
F1041,M001,Burger Bakar,3
F1041,W001,Lamb Chop,3
F1042,M005,Nasi Goreng,2
F1042,M002,Char Kuey Teow,5
F1042,C001,Yong Tau Foo,4
F2001,M008,Nasi Lemak,2
F2001,M005,Nasi Goreng,3
F2001,M002,Char Kuey Teow,4
F2001,M001,Burger Bakar,4
F2001,W001,Lamb Chop,5
F2001,C001,Yong Tau Foo,3
